City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bilma,NE,18.6853,12.9164,59.94,45,1,8.21,clear sky
1,Hithadhoo,MV,-0.6,73.0833,81.36,74,98,5.57,overcast clouds
2,Sergeyevka,KZ,53.88,67.4158,-7.26,86,13,7.56,few clouds
3,Jinchang,CN,38.4953,102.1739,15.93,37,46,3.4,scattered clouds
4,Atuona,PF,-9.8,-139.0333,77.81,72,13,14.58,few clouds
5,Qaanaaq,GL,77.484,-69.3632,-18.09,81,19,6.51,few clouds
6,Norman Wells,CA,65.282,-126.8329,-18.53,94,99,1.3,overcast clouds
7,Torbay,CA,47.6666,-52.7314,27.39,76,44,5.01,scattered clouds
8,Saint-Philippe,RE,-21.3585,55.7679,80.19,77,40,7.2,scattered clouds
9,Hamilton,US,39.1834,-84.5333,58.24,86,100,11.5,mist
10,Busselton,AU,-33.65,115.3333,82.9,43,0,15.26,clear sky
11,Port Elizabeth,ZA,-33.918,25.5701,71.31,71,3,11.99,clear sky
12,Lima,PE,-12.0432,-77.0282,66.45,83,100,8.05,overcast clouds
13,Whitianga,NZ,-36.8333,175.7,65.25,75,47,13.94,scattered clouds
14,Soloneshnoye,RU,51.6544,84.3197,1.04,80,89,3.31,overcast clouds
15,Jamestown,US,42.097,-79.2353,49.59,80,0,16.11,clear sky
16,Hobart,AU,-42.8794,147.3294,66.06,48,75,16.11,broken clouds
17,Bubaque,GW,11.2833,-15.8333,80.04,64,86,7.14,overcast clouds
18,Dongsheng,CN,39.8161,109.9776,7.57,17,2,12.75,clear sky
19,Mnogovershinnyy,RU,53.9353,139.9242,0.41,90,100,23.78,light snow
20,Yerbogachen,RU,61.2767,108.0108,-0.27,96,100,11.65,light snow
21,Rikitea,PF,-23.1203,-134.9692,72.18,72,82,13.2,broken clouds
22,Nelson Bay,AU,-32.7167,152.15,71.65,59,45,4.0,scattered clouds
23,Georgetown,MY,5.4112,100.3354,87.73,81,20,4.61,few clouds
24,Saint-Francois,FR,46.4154,3.9054,40.44,93,100,3.44,mist
25,Alofi,NU,-19.0595,-169.9187,78.76,78,10,13.78,clear sky
26,Mataura,NZ,-46.1927,168.8643,55.17,84,90,9.89,overcast clouds
27,Saskylakh,RU,71.9167,114.0833,-23.93,99,100,6.78,overcast clouds
28,Videira,BR,-27.0083,-51.1517,61.21,97,93,2.86,overcast clouds
29,Rehnan,IR,32.6846,51.6013,35.11,44,100,1.45,overcast clouds
30,Arraial Do Cabo,BR,-22.9661,-42.0278,73.09,90,80,21.45,broken clouds
31,Ushuaia,AR,-54.8,-68.3,46.06,66,75,14.97,broken clouds
32,Naze,JP,28.3667,129.4833,63.0,85,98,23.82,overcast clouds
33,Longyearbyen,SJ,78.2186,15.6401,31.84,86,75,16.11,light rain
34,Tiksi,RU,71.6872,128.8694,-26.36,100,94,2.89,overcast clouds
35,Shache,CN,38.4167,77.2406,24.13,15,84,2.86,broken clouds
36,Maturin,VE,9.75,-63.1767,69.66,96,40,4.85,scattered clouds
37,Oussouye,SN,12.485,-16.5469,74.01,71,54,5.48,broken clouds
38,New Norfolk,AU,-42.7826,147.0587,65.7,49,100,8.01,overcast clouds
39,Mar Del Plata,AR,-38.0023,-57.5575,67.08,96,100,8.01,moderate rain
40,Victoria,HK,22.2855,114.1577,76.96,85,51,15.99,broken clouds
41,Bredasdorp,ZA,-34.5322,20.0403,63.37,80,6,4.97,clear sky
42,Walvis Bay,NA,-22.9575,14.5053,59.09,83,35,6.91,scattered clouds
43,Barrow,US,71.2906,-156.7887,10.42,85,100,13.8,light snow
44,Panguna,PG,-6.3164,155.4848,76.6,83,99,2.91,light rain
45,Lulindi,TZ,-10.8167,39.1333,71.47,81,54,1.16,broken clouds
46,Aklavik,CA,68.2191,-135.0107,-11.36,85,100,3.62,overcast clouds
47,Chuy,UY,-33.6971,-53.4616,65.95,95,1,9.15,clear sky
48,Nanortalik,GL,60.1432,-45.2371,31.68,83,100,8.68,overcast clouds
49,Hermanus,ZA,-34.4187,19.2345,64.8,85,12,7.36,few clouds
50,Isangel,VU,-19.55,169.2667,85.46,67,44,5.06,scattered clouds
51,Biak,ID,-0.9131,122.8766,84.52,65,100,0.38,overcast clouds
52,Albany,US,42.6001,-73.9662,32.27,79,100,3.0,overcast clouds
53,Faya,SA,18.3851,42.4509,48.72,64,1,1.19,clear sky
54,Punta Arenas,CL,-53.15,-70.9167,46.11,61,100,24.96,overcast clouds
55,Bluff,NZ,-46.6,168.3333,53.04,77,59,19.69,broken clouds
56,Bambous Virieux,MU,-20.3428,57.7575,79.21,65,40,4.61,scattered clouds
57,Saint-Pierre,RE,-21.3393,55.4781,81.91,61,0,9.22,clear sky
58,Jieshi,CN,22.8134,115.8257,68.88,79,100,23.78,overcast clouds
59,Biograd Na Moru,HR,43.9433,15.4519,44.76,71,100,9.84,overcast clouds
60,Harper,LR,4.375,-7.7169,76.3,88,74,2.46,light rain
61,Tsumeb,NA,-19.2333,17.7167,72.73,39,46,12.97,scattered clouds
62,Ribeira Grande,PT,38.5167,-28.7,60.78,91,69,1.99,broken clouds
63,Carnarvon,AU,-24.8667,113.6333,77.67,63,0,13.58,clear sky
64,Thompson,CA,55.7435,-97.8558,-0.63,93,100,14.14,overcast clouds
65,Nome,US,64.5011,-165.4064,17.67,79,100,13.8,overcast clouds
66,Turayf,SA,31.6725,38.6637,48.45,100,100,4.61,fog
67,Pisco,PE,-13.7,-76.2167,66.25,82,0,2.3,clear sky
68,Safaga,EG,26.7292,33.9365,68.92,47,7,3.91,clear sky
69,Guerrero Negro,MX,27.9769,-114.0611,59.63,74,49,9.6,scattered clouds
70,Alamos,MX,27.0167,-108.9333,61.52,31,47,4.09,scattered clouds
