City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Camapua,BR,2022-11-23 22:22:10,-19.5314,-54.0439,80.35,58,80,2.98
1,Vaini,TO,2022-11-23 22:21:12,-21.2,-175.2,84.36,74,40,5.75
2,Timra,SE,2022-11-23 22:22:11,62.487,17.3257,26.67,86,100,5.75
3,Airai,TL,2022-11-23 22:22:12,-8.9266,125.4092,62.92,85,100,1.86
4,Camp Diable,MU,2022-11-23 22:22:12,-20.4628,57.5789,74.23,88,40,6.91
5,Cherskiy,RU,2022-11-23 22:22:13,68.75,161.3,-26.5,97,99,2.37
6,Buala,SB,2022-11-23 22:22:13,-8.145,159.5921,83.73,72,35,7.18
7,Kindu,CD,2022-11-23 22:22:14,-2.95,25.95,68.07,99,67,1.07
8,Hofn,IS,2022-11-23 22:22:14,64.2539,-15.2082,40.21,80,100,22.91
9,Ushuaia,AR,2022-11-23 22:20:04,-54.8,-68.3,44.26,65,75,28.77
10,Kapaa,US,2022-11-23 22:22:15,22.0752,-159.319,82.38,70,20,17.27
11,Qaanaaq,GL,2022-11-23 22:22:15,77.484,-69.3632,12.52,89,91,1.34
12,Sechura,PE,2022-11-23 22:22:16,-5.5569,-80.8222,73.51,62,18,13.85
13,Puerto Ayora,EC,2022-11-23 22:22:16,-0.7393,-90.3518,76.96,94,77,3.0
14,Morant Bay,JM,2022-11-23 22:22:16,17.8815,-76.4093,83.82,80,100,9.75
15,Tiksi,RU,2022-11-23 22:22:17,71.6872,128.8694,-26.16,100,100,4.03
16,Iquitos,PE,2022-11-23 22:22:17,-3.7481,-73.2472,78.84,83,75,2.3
17,Olinda,BR,2022-11-23 22:22:18,-8.0089,-34.8553,80.33,69,20,6.91
18,Cape Town,ZA,2022-11-23 22:20:03,-33.9258,18.4232,63.27,82,75,16.11
19,Barra Patuca,HN,2022-11-23 22:22:19,15.8,-84.2833,79.43,85,28,6.69
20,Bluff,NZ,2022-11-23 22:22:19,-46.6,168.3333,50.7,75,100,22.03
21,Albany,US,2022-11-23 22:20:00,42.6001,-73.9662,43.21,60,53,6.13
22,Georgetown,MY,2022-11-23 22:22:20,5.4112,100.3354,80.53,93,40,0.0
23,Hilo,US,2022-11-23 22:22:21,19.7297,-155.09,81.25,70,40,8.05
24,New Norfolk,AU,2022-11-23 22:22:21,-42.7826,147.0587,62.1,60,100,8.01
25,Rikitea,PF,2022-11-23 22:22:22,-23.1203,-134.9692,73.06,81,100,6.73
26,Hatod,IN,2022-11-23 22:22:22,22.8,75.7333,59.79,43,33,5.44
27,Saint George,US,2022-11-23 22:21:01,37.1041,-113.5841,57.25,23,0,3.44
28,Pallisa,UG,2022-11-23 22:22:23,1.145,33.7094,66.81,90,100,3.53
29,Busselton,AU,2022-11-23 22:22:23,-33.65,115.3333,59.85,84,100,6.46
30,Chibombo,ZM,2022-11-23 22:22:24,-14.6569,28.0706,68.07,79,100,2.46
31,Cidreira,BR,2022-11-23 22:22:20,-30.1811,-50.2056,67.15,71,98,8.25
32,Dingle,PH,2022-11-23 22:22:24,10.9995,122.6711,75.99,92,100,6.78
33,Poum,NC,2022-11-23 22:22:25,-20.2333,164.0167,79.34,75,30,4.23
34,Carnarvon,AU,2022-11-23 22:22:25,-24.8667,113.6333,67.86,76,0,11.1
35,Saldanha,ZA,2022-11-23 22:22:26,-33.0117,17.9442,60.85,83,100,10.0
36,Mastic Beach,US,2022-11-23 22:22:26,40.7668,-72.8521,52.0,52,0,0.0
37,Tasiilaq,GL,2022-11-23 22:22:26,65.6145,-37.6368,30.36,64,100,5.55
38,Constitucion,CL,2022-11-23 22:22:27,-35.3333,-72.4167,66.67,69,25,19.89
39,Kahului,US,2022-11-23 22:22:27,20.8947,-156.47,84.22,62,40,20.71
40,Kaabong,UG,2022-11-23 22:22:28,3.4836,34.1492,65.77,67,10,4.27
41,Hobart,AU,2022-11-23 22:18:54,-42.8794,147.3294,62.46,65,40,13.8
42,Hermanus,ZA,2022-11-23 22:22:28,-34.4187,19.2345,66.79,80,100,16.8
43,Mataura,NZ,2022-11-23 22:23:29,-46.1927,168.8643,43.74,99,100,8.3
44,Port Hardy,CA,2022-11-23 22:23:30,50.6996,-127.4199,46.58,87,100,19.57
45,Evensk,RU,2022-11-23 22:23:30,61.95,159.2333,3.38,84,100,9.22
46,Celestun,MX,2022-11-23 22:23:30,20.8667,-90.4,80.71,74,57,6.87
47,Bardiyah,LY,2022-11-23 22:23:31,31.7561,25.0865,63.32,35,1,17.58
48,Rancho Palos Verdes,US,2022-11-23 22:23:31,33.7445,-118.387,76.51,55,40,5.01
49,Anadyr,RU,2022-11-23 22:23:32,64.75,177.4833,23.5,93,100,38.03
50,Qaqortoq,GL,2022-11-23 22:23:32,60.7167,-46.0333,27.16,70,99,10.36
51,Saskylakh,RU,2022-11-23 22:23:33,71.9167,114.0833,-36.92,100,84,2.44
52,Tazmalt,DZ,2022-11-23 22:23:33,36.3868,4.3989,62.78,71,57,4.59
53,Narsaq,GL,2022-11-23 22:23:33,60.9167,-46.05,43.02,68,100,11.72
54,Krutinka,RU,2022-11-23 22:23:34,56.0055,71.5113,-4.32,92,100,4.9
55,Sorland,NO,2022-11-23 22:23:34,67.667,12.6934,40.86,54,100,16.98
56,Punta Arenas,CL,2022-11-23 22:20:31,-53.15,-70.9167,44.71,61,40,36.82
57,Kungurtug,RU,2022-11-23 22:23:35,50.5994,97.5228,-3.42,93,92,2.59
58,Avarua,CK,2022-11-23 22:23:35,-21.2078,-159.775,78.85,78,40,12.66
59,Barahona,DO,2022-11-23 22:23:36,18.2085,-71.1008,84.02,79,20,9.22
60,Orichi,RU,2022-11-23 22:23:36,58.4036,49.0572,20.97,94,100,11.45
61,Hamilton,US,2022-11-23 22:18:37,39.1834,-84.5333,54.45,43,0,4.61
62,Santa Cruz,BO,2022-11-23 22:18:48,-17.8,-63.1667,91.45,35,62,8.05
63,Nikolskoye,RU,2022-11-23 22:23:37,59.7035,30.7861,24.69,85,62,5.21
64,Nichinan,JP,2022-11-23 22:23:38,31.6,131.3667,51.48,81,5,4.38
65,Lagoa,PT,2022-11-23 22:23:38,39.05,-27.9833,61.97,73,54,23.91
66,Naze,JP,2022-11-23 22:23:39,28.3667,129.4833,65.32,72,49,10.65
67,East London,ZA,2022-11-23 22:23:39,-33.0153,27.9116,70.03,82,43,23.38
68,Vardo,NO,2022-11-23 22:23:40,70.3705,31.1107,19.38,86,52,31.07
69,Dikson,RU,2022-11-23 22:23:40,73.5069,80.5464,-22.0,98,89,11.88
70,Rangapara,IN,2022-11-23 22:23:41,26.8167,92.65,59.27,77,3,4.05
71,Moree,AU,2022-11-23 22:23:41,-29.4667,149.85,71.08,41,88,5.73
72,Nuuk,GL,2022-11-23 22:23:15,64.1835,-51.7216,25.41,86,40,13.8
73,Pangnirtung,CA,2022-11-23 22:23:42,66.1451,-65.7125,3.2,78,0,3.44
74,Castro,BR,2022-11-23 22:23:42,-24.7911,-50.0119,65.14,83,3,2.3
75,Ler,SS,2022-11-23 22:23:43,8.3018,30.1418,77.52,53,23,3.98
76,Arraial Do Cabo,BR,2022-11-23 22:23:43,-22.9661,-42.0278,76.96,78,40,17.27
77,Dalian,CN,2022-11-23 22:20:41,38.9122,121.6022,39.13,93,20,2.24
78,Port Blair,IN,2022-11-23 22:23:44,11.6667,92.75,79.16,83,100,7.05
79,Santo Antonio Do Ica,BR,2022-11-23 22:21:48,-3.1022,-67.9397,71.89,99,100,1.16
80,Ancud,CL,2022-11-23 22:23:44,-41.8697,-73.8203,54.39,93,100,10.49
81,Codrington,AU,2022-11-23 22:22:28,-38.2667,141.9667,55.42,77,77,7.85
82,Bethel,US,2022-11-23 22:23:45,41.3712,-73.414,48.94,52,0,0.0
83,Marion,US,2022-11-23 22:23:45,39.7684,-86.1555,56.03,45,75,5.75
84,Tuktoyaktuk,CA,2022-11-23 22:23:46,69.4541,-133.0374,8.6,92,100,4.61
85,Talnakh,RU,2022-11-23 22:23:46,69.4865,88.3972,-29.76,97,16,1.48
86,Zlitan,LY,2022-11-23 22:23:47,32.4674,14.5687,65.39,47,2,10.09
87,Yeppoon,AU,2022-11-23 22:23:47,-23.1333,150.7333,78.58,66,32,8.14
88,Atuona,PF,2022-11-23 22:24:47,-9.8,-139.0333,77.97,77,11,15.12
89,Ribeira Brava,PT,2022-11-23 22:24:48,32.65,-17.0667,69.71,71,83,3.51
90,Chuy,UY,2022-11-23 22:24:48,-33.6971,-53.4616,63.86,67,0,6.4
91,Te Anau,NZ,2022-11-23 22:21:14,-45.4167,167.7167,47.97,82,99,5.19
92,Wattegama,LK,2022-11-23 22:24:49,6.7989,81.4808,73.29,92,94,2.26
93,Urumqi,CN,2022-11-23 22:22:01,43.801,87.6005,31.15,80,0,6.71
94,Belaya Gora,RU,2022-11-23 22:24:50,68.5333,146.4167,-30.3,100,100,3.31
95,Lokosovo,RU,2022-11-23 22:21:24,61.1333,74.8167,2.8,95,100,13.11
96,Hambantota,LK,2022-11-23 22:24:50,6.1241,81.1185,75.88,80,100,6.76
97,Artyom,AZ,2022-11-23 22:24:51,40.4723,50.333,50.14,73,0,12.93
98,Provideniya,RU,2022-11-23 22:24:51,64.3833,-173.3,15.91,73,100,11.18
99,Ucluelet,CA,2022-11-23 22:24:52,48.9329,-125.5528,49.08,89,100,1.99
100,Fort Nelson,CA,2022-11-23 22:24:52,58.8053,-122.7002,27.95,72,75,0.0
101,Presidente Epitacio,BR,2022-11-23 22:24:52,-21.7633,-52.1156,79.5,64,97,8.84
102,Winona,US,2022-11-23 22:20:10,43.9666,-91.7668,46.6,57,0,0.0
103,Fortuna,US,2022-11-23 22:24:53,40.5982,-124.1573,60.93,77,0,6.91
104,Manokwari,ID,2022-11-23 22:24:54,-0.8667,134.0833,79.74,76,100,5.75
105,Ballina,AU,2022-11-23 22:24:54,-28.8667,153.5667,72.01,87,100,5.57
106,San Lazaro,BZ,2022-11-23 22:24:54,18.0387,-88.6622,76.71,74,89,2.75
107,Port Alfred,ZA,2022-11-23 22:24:55,-33.5906,26.891,65.17,88,46,3.0
108,Savino,RU,2022-11-23 22:24:55,56.5929,41.2181,23.99,94,100,7.54
109,Longyearbyen,SJ,2022-11-23 22:24:56,78.2186,15.6401,33.64,75,75,9.22
110,Muborak,UZ,2022-11-23 22:24:56,39.2553,65.1528,58.08,34,100,5.44
111,Soyo,AO,2022-11-23 22:24:57,-6.1349,12.3689,79.0,82,68,6.42
112,Raga,SS,2022-11-23 22:24:57,8.4596,25.678,78.42,34,45,2.51
113,Stokmarknes,NO,2022-11-23 22:24:58,68.5646,14.9108,37.38,48,100,8.05
114,Namatanai,PG,2022-11-23 22:23:39,-3.6667,152.4333,83.07,68,98,8.05
115,Ribeira Grande,PT,2022-11-23 22:24:58,38.5167,-28.7,62.78,73,45,7.0
116,Salalah,OM,2022-11-23 22:24:59,17.0151,54.0924,75.29,78,0,2.3
117,Sainte-Maxime,FR,2022-11-23 22:24:59,43.3,6.6333,60.82,50,1,24.49
118,Upernavik,GL,2022-11-23 22:24:59,72.7868,-56.1549,23.86,86,96,15.73
119,Butaritari,KI,2022-11-23 22:25:00,3.0707,172.7902,80.82,72,94,5.59
120,Bredasdorp,ZA,2022-11-23 22:25:00,-34.5322,20.0403,64.51,55,100,16.08
121,Beloha,MG,2022-11-23 22:25:01,-25.1667,45.05,71.55,89,34,8.66
122,Klaksvik,FO,2022-11-23 22:25:01,62.2266,-6.589,47.32,86,100,36.82
123,Severo-Kurilsk,RU,2022-11-23 22:25:02,50.6789,156.125,34.2,63,92,15.21
124,Yellowknife,CA,2022-11-23 22:25:02,62.456,-114.3525,21.72,86,75,8.05
125,Kyakhta,RU,2022-11-23 22:25:03,50.3508,106.4494,6.48,96,96,2.48
126,Hun,LY,2022-11-23 22:25:03,29.1268,15.9477,60.15,34,0,6.82
127,Stornoway,GB,2022-11-23 22:25:04,58.2093,-6.3865,48.92,75,75,14.97
128,Merauke,ID,2022-11-23 22:25:04,-8.4667,140.3333,76.39,93,100,13.24
129,Pevek,RU,2022-11-23 22:25:04,69.7008,170.3133,-28.32,98,77,2.89
130,Pangody,RU,2022-11-23 22:25:05,65.85,74.4859,-18.49,99,13,7.0
131,Acapulco,MX,2022-11-23 22:25:05,16.8634,-99.8901,85.82,74,40,4.61
132,Catamarca,AR,2022-11-23 22:25:06,-28.4696,-65.7852,93.06,24,6,4.0
133,Berdigestyakh,RU,2022-11-23 22:25:06,62.0989,126.6992,-32.58,100,100,1.25
134,Diego De Almagro,CL,2022-11-23 22:21:28,-26.3667,-70.05,75.87,23,0,9.53
135,Torbay,CA,2022-11-23 22:26:07,47.6666,-52.7314,35.76,95,75,11.5
136,Diu,IN,2022-11-23 22:26:07,20.7141,70.9822,70.92,40,3,9.15
137,Awash,ET,2022-11-23 22:26:08,8.9833,40.1667,70.99,44,12,2.13
138,Diban,SY,2022-11-23 22:26:08,35.0365,40.5167,63.41,38,3,9.01
139,Broome,US,2022-11-23 22:26:09,42.2506,-75.833,39.69,72,20,5.75
140,Port Elizabeth,ZA,2022-11-23 22:26:10,-33.918,25.5701,67.32,77,0,11.5
141,Karratha,AU,2022-11-23 22:26:10,-20.7377,116.8463,78.67,55,44,1.14
142,Lebu,CL,2022-11-23 22:26:11,-37.6167,-73.65,60.33,85,4,14.97
143,Mareeba,AU,2022-11-23 22:26:12,-17.0,145.4333,84.49,76,15,4.23
144,Katsuura,JP,2022-11-23 22:26:12,35.1333,140.3,58.46,73,28,16.4
145,Esperance,AU,2022-11-23 22:26:12,-33.8667,121.9,71.24,45,92,18.45
146,Hithadhoo,MV,2022-11-23 22:26:13,-0.6,73.0833,80.71,78,100,13.04
147,Hobyo,SO,2022-11-23 22:26:13,5.3505,48.5268,79.21,72,0,10.11
148,Tera,NE,2022-11-23 22:26:14,14.0078,0.7531,76.89,12,2,9.51
149,Newport,GB,2022-11-23 22:26:14,51.5877,-2.9984,48.31,87,99,26.87
150,San Patricio,US,2022-11-23 22:26:15,28.017,-97.5169,67.87,87,95,8.5
151,Sao Filipe,CV,2022-11-23 22:26:15,14.8961,-24.4956,77.97,62,84,9.89
152,Aklavik,CA,2022-11-23 22:26:16,68.2191,-135.0107,8.26,96,100,7.2
153,Caapucu,PY,2022-11-23 22:26:16,-26.2167,-57.2,69.89,67,0,4.41
154,Mogadishu,SO,2022-11-23 22:26:17,2.0371,45.3438,79.79,78,27,14.5
155,Ilukste,LV,2022-11-23 22:26:17,55.9775,26.2966,14.41,99,87,1.52
156,Rosarito,MX,2022-11-23 22:26:18,32.3333,-117.0333,78.4,40,1,7.61
157,Jamestown,US,2022-11-23 22:24:57,42.097,-79.2353,46.04,42,0,3.44
158,Turtas,RU,2022-11-23 22:26:18,58.9417,69.1325,-8.73,95,5,3.85
